track_id,frame_number,crop_path,crop_width,crop_height,old_prompt_raw_response,old_prompt_parsed_body_type,old_prompt_valid,new_prompt_raw_response,new_prompt_parsed_body_type,new_prompt_valid,ground_truth_body_type,old_prompt_correct,new_prompt_correct,notes
CAM_001:TRACK_1,5,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_1\frame_000005_MIDDLE.jpg,270,200,sedan,SEDAN,True,no,UNKNOWN,False,,,,
CAM_001:TRACK_1,2,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_1\frame_000002_FIRST.jpg,287,231,qA,UNKNOWN,False,no,UNKNOWN,False,,,,
CAM_001:TRACK_1,8,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_1\frame_000008_LAST.jpg,259,168,sedan,SEDAN,True,no,UNKNOWN,False,,,,
CAM_001:TRACK_12,33,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_12\frame_000033_RAW_TRACK_CROP.jpg,102,162,unanswerable,UNKNOWN,False,no,UNKNOWN,False,,,,
CAM_001:TRACK_12,36,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_12\frame_000036_RAW_TRACK_CROP.jpg,102,158,unanswerable,UNKNOWN,False,no,UNKNOWN,False,,,,
CAM_001:TRACK_12,30,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_12\frame_000030_RAW_TRACK_CROP.jpg,99,161,no,UNKNOWN,False,no,UNKNOWN,False,,,,
CAM_001:TRACK_14,15,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_14\frame_000015_MIDDLE.jpg,58,67,car,UNKNOWN,False,no,UNKNOWN,False,,,,
CAM_001:TRACK_14,36,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_14\frame_000036_LAST.jpg,60,70,car,UNKNOWN,False,no,UNKNOWN,False,,,,
CAM_001:TRACK_14,3,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_14\frame_000003_FIRST.jpg,57,63,car,UNKNOWN,False,no,UNKNOWN,False,,,,
CAM_001:TRACK_21,63,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_21\frame_000063_HIGHEST_CONFIDENCE.jpg,82,85,car,UNKNOWN,False,no,UNKNOWN,False,,,,
CAM_001:TRACK_21,60,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_21\frame_000060_MIDDLE.jpg,81,84,car,UNKNOWN,False,no,UNKNOWN,False,,,,
CAM_001:TRACK_21,64,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_21\frame_000064_LAST.jpg,83,87,car,UNKNOWN,False,no,UNKNOWN,False,,,,
CAM_001:TRACK_4,69,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_4\frame_000069_RAW_TRACK_CROP.jpg,360,267,hyundai,UNKNOWN,False,no,UNKNOWN,False,,,,
