track_id,frame_number,crop_path,crop_width,crop_height,baseline_raw_response,baseline_parsed_body_type,baseline_valid,prompt_a_raw_response,prompt_a_parsed_body_type,prompt_a_valid,prompt_b_raw_response,prompt_b_parsed_body_type,prompt_b_valid,prompt_c_raw_response,prompt_c_parsed_body_type,prompt_c_valid,caption_raw_response,caption_parsed_body_type,caption_valid,ground_truth_body_type,baseline_correct,prompt_a_correct,prompt_b_correct,prompt_c_correct,caption_correct,notes
CAM_001:TRACK_1,5,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_1\frame_000005_MIDDLE.jpg,270,200,sedan,SEDAN,True,sedan,SEDAN,True,no,UNKNOWN,False,sedan,SEDAN,True,the side of the road.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_1,2,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_1\frame_000002_FIRST.jpg,287,231,qA,UNKNOWN,False,sedan,SEDAN,True,"Look at the closest body style:
sedan
hatchback
suv
mpv",SUV,True,sedan,SEDAN,True,the side of the road.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_1,8,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_1\frame_000008_LAST.jpg,259,168,sedan,SEDAN,True,sedan,SEDAN,True,no,UNKNOWN,False,sedan,SEDAN,True,the side of the road.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_12,33,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_12\frame_000033_RAW_TRACK_CROP.jpg,102,162,unanswerable,UNKNOWN,False,unanswerable,UNKNOWN,False,no,UNKNOWN,False,unanswerable,UNKNOWN,False,the road.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_12,36,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_12\frame_000036_RAW_TRACK_CROP.jpg,102,158,unanswerable,UNKNOWN,False,unanswerable,UNKNOWN,False,no,UNKNOWN,False,unanswerable,UNKNOWN,False,next to a white car.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_12,30,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_12\frame_000030_RAW_TRACK_CROP.jpg,99,161,no,UNKNOWN,False,unanswerable,UNKNOWN,False,no,UNKNOWN,False,unanswerable,UNKNOWN,False,next to a car.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_14,15,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_14\frame_000015_MIDDLE.jpg,58,67,car,UNKNOWN,False,sedan,SEDAN,True,no,UNKNOWN,False,sedan,SEDAN,True,parking lot.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_14,36,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_14\frame_000036_LAST.jpg,60,70,car,UNKNOWN,False,unanswerable,UNKNOWN,False,no,UNKNOWN,False,unanswerable,UNKNOWN,False,car in a parking lot.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_14,3,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_14\frame_000003_FIRST.jpg,57,63,car,UNKNOWN,False,unanswerable,UNKNOWN,False,no,UNKNOWN,False,unanswerable,UNKNOWN,False,parking lot.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_21,63,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_21\frame_000063_HIGHEST_CONFIDENCE.jpg,82,85,car,UNKNOWN,False,unanswerable,UNKNOWN,False,yes,UNKNOWN,False,unanswerable,UNKNOWN,False,a parking lot.,UNKNOWN,False,,,,,,,
